"id","name","kapazitaet","gebaeude","adresse"
"AF0101","PC6","7","AA - Hauptgebäude","Karlsplatz 13,"
"AFEG 06","PC7","29","AA - Hauptgebäude","Karlsplatz 13,"
"AFEG03","PC8","13","AA - Hauptgebäude","Karlsplatz 13,"
"CFEG47","Programmier-Labor","54","CF - Haupttrakt","Gußhausstraße 25-25a,"
"XKEG05","Projektraum 1","20","XK - Ausweichquatier","Mattiellistraße 2-4,"
"ZS13","Projektraum 13 - Achtung! Werkraum, kein Seminarraum!","25","AA - Hauptgebäude","Karlsplatz 13, Hauptgebäude, Stiege 4, 1. Stock"
"ZS14","Projektraum 14 - Achtung! Werkraum, kein Seminarraum!","25","AA - Hauptgebäude","Karlsplatz 13, Hauptgebäude, Stiege 4, 1. Stock"
"XKEG13","Projektraum 2","40","XK - Ausweichquatier","Mattiellistraße 2-4,"
"ZS2","Projektraum 2 - Achtung! Werkraum, kein Seminarraum!","25","AA - Hauptgebäude","Karlsplatz 13, Hauptgebäude, Stiege 4, 3. Stock"
"ZS8","Projektraum 8 - Achtung! Werkraum, kein Seminarraum!","25","AA - Hauptgebäude","Karlsplatz 13, Hauptgebäude, Stiege 4, 3.Stock"
"AC0230","Projektraum DAP 1/259","32","AA - Hauptgebäude","Karlsplatz 13,"
"2532","Projektraum GBL - 2/253 - Achtung! Werkraum, kein Seminarraum!","20","AA - Hauptgebäude","Karlsplatz 13, Stiege 7"
"AF0326","Projektraum GSTL - 253-06 - Achtung Werkraum! Kein Seminarraum!","40","AA - Hauptgebäude","Karlsplatz 13,"
"S6","Projektraum HB1 - 6/253 - Achtung! Werkraum, kein Seminarraum!","20","AA - Hauptgebäude","Karlsplatz 13,"
"2537","Projektraum HB2 - 7/253 - Achtung! Werkraum, kein Seminarraum!","20","AA - Hauptgebäude","Karlsplatz 13, Stiege 7"
"2534","Projektraum RG - 4/253 - Achtung! Werkraum, kein Seminarraum!","20","AA - Hauptgebäude","Karlsplatz 13, Stiege 7, Dachgeschoß"
"5260","Projektraum STB - 5/260 - Achtung! Werkraum, kein Seminarraum!","20","AA - Hauptgebäude","Karlsplatz 13, Stiege 7"
"2533","Projektraum WB - 3/253 - Achtung! Werkraum, kein Seminarraum!","20","AA - Hauptgebäude","Karlsplatz 13, Stiege 7"
"BC01A50","Raum Madsen","5","BC - Lehartrakt","Lehargasse 4,"
"ACEG12","Raumlabor","20","AA - Hauptgebäude","Karlsplatz 13,"
"CG0118","Sem 389","30","CF - Haupttrakt","Gußhausstraße 25-25a, 1. Stock"
"DA02E08","Sem.R. DA grün 02 A - GEO","44","DA - Freihausgebäude","Wiedner Hauptstraße 8-10,"
"DA02F16","Sem.R. DA grün 02 B - GEO","40","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, grüner Bereich, 2. OG"
"DA02F20","Sem.R. DA grün 02 C - GEO","18","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, , Turm A, grüner Bereich, 2. OG"
"101A","Sem.R. DA grün 03 A","48","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm A, grüner Bereich, 3. OG"
"101B","Sem.R. DA grün 03 B","32","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm A, grüner Bereich, 3. OG"
"101C","Sem.R. DA grün 04","30","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm A, grüner Bereich, 4. OG"
"104","Sem.R. DA grün 05","60","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm A, grüner Bereich, 5. OG"
"107","Sem.R. DA grün 06A","30","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm A, grüner Bereich, 6. OG"
"1016","Sem.R. DA grün 06B","16","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm A, grüner Bereich, 6. OG"
"325/2","Sem.R. DB gelb 03","30","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm B, gelber Bereich, 3. OG"
"105A","Sem.R. DB gelb 04","30","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm B, gelber Bereich, 4.OG"
"134","Sem.R. DB gelb 05 A","30","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm B, gelber Bereich, 5. OG"
"134A","Sem.R. DB gelb 05 B","24","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm B, gelber Bereich, 5. OG"
